Page,Section,Purpose,H1,H2/H3,Copy_Snippet,CTA,Asset_Refs,SEO_Target,Internal_Links
Homepage,Hero Section,Capture attention with core value proposition,"Transform Your Hairstyling Career Into a Location-Independent Art Form",N/A,"This is your permission slip to design a career on your own terms. From salon-dependent to location-independent. From service provider to visionary entrepreneur.",Pre-Order Your Copy,hero-background-curls.jpg,curls and contemplation book,/book
Homepage,Hero Subheadline,Clarify unique positioning,N/A,N/A,"Conscious hairstyling • Biblical wisdom • Entrepreneurial freedom • Cultural competency • Interactive journey journal with 12 worksheets",Pre-Order Your Copy,N/A,hairstylist journey journal,/book
Homepage,Hero Trust Elements,Build immediate credibility,N/A,N/A,"16 Interactive Chapters | 12 Downloadable Worksheets | Pre-Order Bonuses Worth $381 | 30-Day Money-Back Guarantee",Pre-Order Your Copy,trust-badges-guarantee.svg,freelance hairstylist guide,/book /refund-policy
Homepage,Social Proof Bar,Leverage early testimonials,N/A,N/A,"Loved by stylists from NYC to Lagos • Already transforming careers across 15+ countries • Early reviews praising authenticity and actionable strategies",Join the Movement,testimonial-avatars-row.png,N/A,/community
Homepage,Book Preview Section,Introduce book content,"What's Inside Curls & Contemplation",N/A,"More than a book—it's an interactive journey that transforms hairstyling from service-based profession into art form of liberation and entrepreneurship.",Explore the Book,book-cover-3d-render.png,hairstyling business strategies,/book
Homepage,Book Preview: Part I,Tease chapter structure,N/A,"Part I: Foundations of Creative Hairstyling","Establish philosophical and technical groundwork. Learn conscious hairstyling principles, refine your toolkit, and reignite your creative fire.",See Full Table of Contents,icon-foundations.svg,conscious hairstyling foundations,/book
Homepage,Book Preview: Part II,Tease chapter structure,N/A,"Part II: Building Your Professional Practice","Master networking, mentorship, business fundamentals, wellness strategies, and continuing education frameworks for sustainable success.",See Full Table of Contents,icon-practice.svg,freelance hairstyling practice,/book
Homepage,Book Preview: Part III,Tease chapter structure,N/A,"Part III: Advanced Business Strategies","Step into leadership. Build enduring legacies. Leverage digital strategies. Master financial wisdom and ethical sustainability practices.",See Full Table of Contents,icon-business.svg,hairstyling business strategies,/book
Homepage,Book Preview: Part IV,Tease chapter structure,N/A,"Part IV: Future-Focused Growth","Harness AI as creative partner. Cultivate resilience. Embrace hair texture diversity with cultural competency and technical mastery.",See Full Table of Contents,icon-future.svg,future of hairstyling,/book
Homepage,Key Benefits List,Tangible reader outcomes,N/A,"What You'll Gain","Build location-independent freelance practice • Master all hair textures with cultural competency • Create multiple revenue streams • Integrate artistry with purpose • Navigate AI technologies confidently",Pre-Order Now,benefits-icons-set/,location-independent hairstylist,/book
